text,final_label
bí ọkọ̀ kan ó re ejìnrìn ẹgbẹgbẹ̀rún ẹ̀ á lọ if a bus wont go to ejìnrìn town thousands others will alternativ,NEGATIVE
irawò mejo mesan merin irawo ookan oodo oodo ami naira,NEUTRAL
ẹja tí a fi ìwọ̀ mú ló jẹ́ kí gbajúmọ̀ ọ́ jẹ èkòló the fish caught with the fishhook typically using earthworm a,NEGATIVE
gẹ́gẹ́ bi èèrùn tií iṣe bo òkú ẹran bẹ́ẹ̀ ni eṣinṣin ṣe bo ìlú yìí tọ̀sán tòru bí ènìyàn bá ṣe èṣìṣì ya ẹnu gbàgà,NEGATIVE
ta ló kọ́ ọ lọ́gbọ́n,NEUTRAL
ààbà loògùn tí ń mú èèyàn má le è ṣe nǹkan kan ni oògùn tí máa ń fi ọ̀nà han ọdẹ nínú igbó a agbe b ọ̀rẹ́kẹ́ṣẹ́,NEUTRAL
ará ọ̀run lẹ̀yọ̀ ni wọ́n fi wọ aṣọ funfun wọ́n wá láti wa fọ èkó mọ́ ni,NEUTRAL
èṣí ️ọdún tó kọjá ìdúnta ️ọdún mẹ́ta sẹ́yìn ìdunfà ️ọdún mẹ́fà sẹ́yìn ️ọdún mẹ́wàá sẹ́yìn,NEUTRAL
ǹjẹ́ ìwọ́ mọ̀ wí pé èso kan náà tí a ń pè ní ìbẹ́pe ní orúkọ mìíìn tí a tún ń pè é bí o bá fẹ́ yàgbẹ́ wọ́ọ́rọ́wọ́ jẹ ṣigù,NEUTRAL
o lòdì si òfin ki ènìkéni fi o si inú ìjìyà tàbí íróra nipa kpe o se e ni ìsekúse,NEGATIVE
àparò kan ò ga jù kan lọ à fi èyí tó bá gun orí ebè one patridge isnt taller than another except the one on a mou,NEUTRAL
mo ti ńfo èyí mo ti ńfo tọ̀hún lo ńmú ológbò kó sínú épo gbígbóná i can hop over this i can hop over that is how,NEGATIVE
kò sí ohun tó yára pani bí ọ̀rọ̀ àsọjù translation nothing kills one faster than overtalking le,NEGATIVE
oṣù karùnún ọdún ire ọwọ́ a bí márùnún jèrè àrún ni tia lóṣù èbìbí yìí a óò dá bí ẹdun a ó rọ̀ bí òwè láṣẹ ọba,POSITIVE
can anyone double check the tone markings on the following please thanks bí ilẹ̀ ńgbe òṣìkà tí ikú ńpa olóòtọ́ bó pé títí oore á máa sú ni ṣe,NEGATIVE
apẹ ló yẹ kó jẹ́ kì í ṣe àdògán mo gbé ọ̀rọ̀ mi jẹ ìkòkò apẹ irin àrìrò tí a fi irin ṣe ni àdòg,NEUTRAL
elédùmarè lóni omi tíkán fiń mọlé,POSITIVE
ọba tí kì í fẹ́ gba ìmọ̀ràn irú wọn kì í pẹ́ fi ẹsẹ̀ kọ any king who despises counsels hardly takes long before stumbling its smart to be open to and treasure good counsels those who spurn them needlessly expose themselves to avoidable errors,NEGATIVE
bákan náà ìwúre ni èdè yorùbá lára ẹ̀sìn ìmàle la ti yá àdúà dua tó di àdúrà lò kí ilẹ̀ ó tó mọ́ a ti fi gbólóhùn yìí pààrọ ìwúre tó jẹ́ tiwa,NEUTRAL
ǹjẹ́ ìwọ́ mọ̀ wípé àyájọ́ òní ọjọ́ kankànlélógún oṣù agẹmọ ni ọ̀gbẹ́ni mungo park fi ojú ba odò ọya ìròhìn tí ọ̀gbẹ́ni yìí mú lọ ìlúu rẹ̀ nípa irúgbàá lorúkọ rẹ̀ parkia fi jẹ́ orúkọ ìjìnlẹ̀ fún irú,NEUTRAL
àìsanra tó ajá ológìnní kì í ṣe ti àìjẹun kánú bíran rẹ̀ ṣe mọ ni cats relative smallness to dogs isnt for want,NEUTRAL
i really do wonder who has actually seen an egbére before ǹjẹ́ ẹyin ti ṣe alábápàdé egbére rí have y,NEUTRAL
àyálò èdè ni àlàáfíà pọtimọ́tò àǹkóò ìrẹsì èwo tún ni ọ̀rọ̀ àyálò nínú ìwọ̀nyí a fàbú b ẹ̀gi d kòkó,NEUTRAL
bí agbọ́n ṣe lóró tó oúnjẹ ni fún aláǹgbá no matter how venomous the wasp is it is still food for the lizard what appears to be a risky enterprise for one is an opportunity for another cc,MIXED
apẹ ló yẹ kó jẹ́ kì í ṣe àdògán mo gbé ọ̀rọ̀ mi jẹ ìkòkò apẹ irin àrìrò tí a fi irin ṣe ni àdògán,NEUTRAL
and today i decided to kickoff let gooooo yoruba ọpẹ́ olóore àdáàdátán ni english the g,POSITIVE
òsè yí á sàn wá sí rere kámáà kó ìríra omo enìkejì wá wonderful and rewarding week to u all glitz event,POSITIVE
àgbá òfìfo ló ńpariwo èyí tó lómi nínú kì í dún its empty vessels that are noisy those filled with water are not,NEGATIVE
i am not a perfect person but im trying my best to be the best i can be ajiginni wole yoruba language emi kii ṣe eniyan pipe ṣugbọn emi n gbiyanju igbesẹ mi lati dara julọ mo le jẹ,POSITIVE
ẹ jẹ́ ká ka yorùbá apanilẹ́kún jayé episode kí ló fa àìbalẹ̀ ọkàn fún tèmídùn lẹ́yìn tí ọkọ rẹ̀ kú find out at,NEGATIVE
ìbìrẹ̀yìn àgbò tojo kọ́,INDETERMINATE
fatai olagunju fatai rolling dollar jùjú legend musician educator he started his musical career in,INDETERMINATE
ìgbin tó wá ẹ̀jẹ̀ lọ sí ilé alákàn bó ti wọlé ni yóò padà jáde any snail that goes to the crabs burrow in search,NEGATIVE
yorùbá proverb ọjọ́ tí a gùn kọ́ là ń kanrun⠀ ⠀ translation you cant reach the top the da,NEUTRAL
a kì í fìkánjú lábẹ̀ gbóná translation hot soup is not to be rushed,POSITIVE
orúkọ adéṣínà | afọláṣadé oríkì orúkọ àkànbí | àpínkẹ́ oríkì orílẹ̀ òpó | àgbò fún wa ní àpẹẹrẹ oríkì orílẹ̀ mìíràn tí o mọ̀,NEUTRAL
sunday igboho òòsà,INDETERMINATE
when ẹ̀dá dúdú tv visited afọlábí arts gallery in òṣogbo afọlábí ìdòwú èṣúlékè in white shirt is a babaláwo and èṣù pries,INDETERMINATE
ẹkaarọ o o wumi lati darapọ mọ loni sugbọn kò si agbara mo ni ijamba ọkọ ẹku isẹ o,MIXED
oríkì ògún ògún lákáayé ọṣìn mọlẹ̀ onílé kángun kàngun ọ̀run ò ní omi nílé ó fi ẹ̀jẹ̀ wẹ̀ ò ní aṣọ nílé ó fi imò bora ẹ̀já pélébé ará ìjábọ̀ ọmọ asunkúnpeji ọmọ ìrènímògún ará ìlágbẹ̀dẹ ọmọ pamí pẹlẹbẹ kí n kú gbọnrandan,NEUTRAL
ení bí ení èjì bí èjì ẹ̀ta ǹ tagbá ẹ̀rin wọ́rọ̀kọ̀ àrún ǹ gbodó ẹ̀fà ti èlè bíró n bíro ìro ni bàtá mo gbá lá,NEUTRAL
ìṣẹ̀ṣe làgbà adìẹ funfun làgbà ẹdìẹ,POSITIVE
kí ni orúkọ ẹyẹ yìí tó kúndùn láti máa jẹ ata ní èdè yorùbá fún olobó ẹyẹ yìí ni wọ́n máa ń perí bí wọ́n bá ní ó ń rẹ́rìnín bí,NEUTRAL
kíni ìyàtọ̀ tó wà láàárín àlàbá ìdòwú àti ìdògbé,NEUTRAL
gbogbo èèyàn oníwà tùtù kọ́ lonínúure not everyone with a pleasant disposition is kindnatured niceness is not necessarily goodness appearance can be deceptive,NEGATIVE
ogun ní í ṣini mú,NEUTRAL
ni ile aye ti baba ti n fi ọmọ rẹ̀ se oògùn sàgbàdèwe,NEGATIVE
ǹjẹ́ ìwọ mọ̀ wípé awuyewuye àròyé ọ̀tẹ̀ bẹ́ sílẹ̀ nígbà tí a pa ajamï àdàlù èdè lárúbáwá tì tí a bẹ̀rẹ̀ sí í kọ èdè yorùbá ní ìlànà álífábẹ́ẹ̀tì rome ní,NEGATIVE
bí a bá ń fi igi tí a jẹ lórí gbo eyín àti ahọ́n à ń fi í rinín ni báyìí ni orín ti ṣe ṣẹ̀ nínú èdè yoòbá,NEUTRAL
ilẹ̀ àánú olúwa kì í ṣú gods mercy never runs out no impossibility with god he cannot be contained or cornered keep hope alive,POSITIVE
ẹ kú ojúmọ́ o ṣé àlàáfíà ni ẹ wà‍️ ẹ kú ọjọ́ mẹ́ta a ò níí rí ìdààmú kankan lọ́sẹ̀ yí ọkàn wa a balẹ̀ àá jèrè ọjà,POSITIVE
ẹ jẹ́ kí a fún àwọn obìnrin láàyè àwọn náà ní ọpọlọ bí i ọkùnrin eegun mẹ́sànán lọkùnrin ní méje ni ti obìnrin ṣe bí wọ́n ṣáà ṣì léegun mo kírà fóbìrin o,POSITIVE
ọ̀tún wẹ òsì òsì wẹ ọ̀tún lọwọ́ fi ńmọ́ the right hand washing the left hand and vice versa is how both hands bec,POSITIVE
ewé ọgbọ́ tí à ń kì nínú ọfọ̀ọ nì ohun tí a bá wí fún ọgbọ́ ni ọgbọ́ ń gbọ́ rè é o oògùn ara ríro àti oògùn ọgbẹ́ in,NEUTRAL
gbajúmọ̀ agbabooluelese àti,NEUTRAL
àdán tó sùn sí ìdí ọsàn ò rí he bèlèté odídẹrẹ́ tó lóun jí dé the bat which slept by the orange tree found no or,INDETERMINATE
ǹjẹ́ ìwọ́ mọ̀ wípé ìlú oní iyanrìn lẹ́búlẹ́bú ni ìgboro ọ̀fà ni a fi ń pe àwọn ọmọ bíbí ibẹ̀ ní ọ̀yẹ̀rúyẹ̀rú ọ̀yẹ̀ ya,NEUTRAL
adùnńṣe bí ohun tí ọlọ́run lọ́wọ́ sí aṣòroóṣe bí èyí tí ọlọ́run ò fẹ́ as easy to do as what god sanctions and as,MIXED
ẹ̀yọ̀ o ayéelé ẹ yọ̀ o ẹ̀yọ̀ baba ntàwa tó ńfi góòlù íṣeré àwa ò lè sanwó olúbodè ó dilé,POSITIVE
ọfẹ́ ni béèli ni ago ọlọpa orilẹede nigeria ti wọn ba beere fun owo epe jọwọ efi eyi han ẹnikan loni,NEUTRAL
eyín ọpẹ́yẹmí funfun gbòò ọ̀rọ̀àpọ́nlé ni gbòò fún wa ní àpẹẹrẹ mìíràn tó pọ́n funfun inú gbólóhùn òkè yìí lé,NEUTRAL
yorùbá word of the day òògùn,INDETERMINATE
wọ́n á tó tan ìtùfù tí í ṣíde àjọ̀dùn òrìṣà greece kan tórúkọ rẹ̀ ń jẹ́ zeus tí ó fi òkè olympia ṣebùgbé ìdíje tí ó tara,NEUTRAL
abẹ ní ḿbẹ orí oníṣẹ́ àtẹ́lẹsẹ̀ ní ḿbẹ ọ̀nà bèbè ìdí ní ḿbẹ kíjìpá bí a dáwọ́ọ bíbẹni a tán nínú ẹni,NEUTRAL
òjògbón báwo ni a se leè pe ipò statistician general ni èdè yòrùbá e bá,NEUTRAL
se àlàfià ni gbogbo wà wà,NEUTRAL
ẹ ṣe prof karin fún àwọn ọ̀rọ̀ ìwúrí ṣeun lọpọlọpọ we are very grateful for your words of insight,POSITIVE
ki a máṣe tàn nyin jẹ a kò le gàn ọlọrun nitori ohunkohun ti enia ba funrugbin on ni yio si ká,POSITIVE
ma binu yoruba mi ko dara jẹ rogbodiyan mo fẹ lati rii awọn gbigbe ijó rẹ ẹnikẹni ti o fi ami awọn fidio ranṣẹ si yoo gba xrp ti o dara ju fidio orin aamieye ijo ni pipegt,POSITIVE
awọn ọna meji apá ẹ gba ẹnuọna to muna nitori titobi ni ilẹkun ati titobi ọna ti o lọ si ibiiparun ọpọlọpọ ni o wa ni iwọle wa i mátíù,NEGATIVE
ẹ̀ta bí ẹ̀ta ẹ jẹ́ ká tara wa lọ́re ẹ̀rin bí ẹ̀rin ẹní rín ni là á rín àrún bí àrún ọba máà ṣe wá lárungún,POSITIVE
ọmọ ẹgbẹ agbabooluelese fún iko inter milan romelu lukaku lagos nigeria,NEUTRAL
dove is called àdàbà in yorùbá do you know any other yorùbá name for this animal share with us,INDETERMINATE
yorùbá adage for the week àdánìkànrìn ejò ló ń jẹ ọmọ ejò níyà translation the lone movement of a snake exposes it to danger what is this òwe telling you,NEGATIVE
ọyádọsìn = ọya di àkúnlẹ̀bọ òrìṣà gbéborùn = gbé ìborùn ojúpọ̀nà = ojú òpópó ọ̀nà ọba wàjà =,NEUTRAL
èyí ni àrìdanàìdan kí obìnrin ó mi méje kí ọkùnrin ó mi mẹ́sànán kí ẹ fi omi tì í sọ́hùnún oògùn ọfà nù n ẹ̀ẹ̀kan,NEUTRAL
ewùrà pupa + àgbagbà + ẹ̀gẹ́pákí + kóóróo ṣúgà méjì = oògùn ẹ̀dà a ó sá a gbẹ a ó gún un kúnná kóbìin máa fi mùkọ,NEUTRAL
ẹni tó ńbẹ̀rù àti ṣubú àti dìde á nira fún un whoever is scared of falling will find it tough to rise be bullish take calculated risks nothing ventured nothing gained,NEGATIVE
ẹ̀fọ́ tí a mọ̀ sí amúnútutù rè é ó ní èròjà agbógun ti ẹ̀jẹ̀ ríru nítorí ẹ̀dá a rẹ̀ máa ń mú inú tutù https,NEUTRAL
a kì í gbé inú ilé ẹni ká fi ọrùn rọ́ one cannot stay in ones home and strain ones neck you cannot suffer from,POSITIVE
eyi ni idajọ na pe imọlẹ wá si aiye awọn enia si fẹ òkunkun jù imọlẹ lọ nitoriti iṣẹ wọn buru,NEGATIVE
idà òòṣà loríkì orúkọ pèrègún ewé pèrègún gbọ́ àtọ̀sí a ó rẹ ewé yìí sínú omi alátọ̀sí yó mu fún ọjọ́,NEUTRAL
àgbà òṣèlú ògbẹ́ni mccain ti fi ojú ààrẹ trump gbolẹ̀ ní ìlú amẹ́ríkà wàhálà dé ààrẹ ti gbé fone rè kaná htt,NEGATIVE
ìwádìí ti fi hàn pé ìṣe àṣà ẹ̀sìn ìjẹ̀bú sudan àti ethiopia fara bára dọ́gba ètò ìsìnkú olúsìn òòṣà agẹmọ àti erikiran àwọn ìlú wọ̀nyí ò yàtọ̀ bákan náà,NEUTRAL
ìtákún episode a death in the family slide i ohun tó ṣe àkàlàmàgbò tó fi dẹ́kun ẹ̀rin rínrín tó bá ṣe igúnnugún á wokoko mọ́ orí ẹyin ni,NEGATIVE
bó ti wù kí ojú kan tóbi tó ojú méjì sàn ju ojú kan lọ no matter how big an eye is two eyes are better than one team effort is superior,NEUTRAL
oníkálukú jèjé ewúré oníkálukú jèjé àgùtàn àgùtàn bòlòjò olúrónbí èjé omo re omo re a pón bí epo olúrónbí ò jo jo ìrókò jo jo,NEUTRAL
ẹkaarọ o o wumi lati darapọ mọ loni sugbọn kò si agbara mo ni ijamba ọkọ,NEGATIVE
lálẹ́ yìí o lálẹ́ yìí o a máa turn up ganan join us every night by pm as we read a classic yorùbá book https,POSITIVE
ọjọ àwọn ìyá join tobi as he learns his native language yorùbá from nigeria and applies it to his everyday life in england,NEUTRAL
jọwọ dariji mi yoruba mi ko dara nwa fun awọn onijo lati jo crypto crawl fun aye lati win fi fidio ranṣẹ si ati taagi lati gba ipenija fidio ti o dara julọ pari ni oṣu kẹwa ọjọ,POSITIVE
ori kandinlogoji ètó òmìnira ìsòrò ati èròngbà so tenu e,NEUTRAL
fẹ́ nǹkan kù = sọ nǹkan nù gbélẹ̀yí fẹ́ aṣọ rẹ̀ kù lánàá = gbélẹ̀yí sọ aṣọ rẹ̀ nù lánàá,NEUTRAL
ẹni tí kò bá lè ṣe bí aláàárù lóyìngbò kò lè ṣe bí adégbọrọ̀ lọ́jà ọba whoever is not willing to be a hired hand in a local market cannot hope to become a wealthy merchant in a major one be willing to start with what you have right where you are,POSITIVE
gbogbo ọ̀rọ̀ ló lésì ṣùgbọ́n kì í ṣe gbogbo ọ̀rọ̀ làá fèsì sí there is always an appropriate response to every statement but its not every statement that one responds to not all issues deserve our attention be focused ignore distractions,POSITIVE
kíni ìdí tí a fi gbọ́dọ̀ ṣòfíntótó láti mọ irú ìdílé tí àfẹ́sánà ọmọ ẹni ti wá nínú àṣà ìgbéyàwó,NEUTRAL
february memories music àkókò kò dúró de ẹnìkan time waits for no one,NEUTRAL
òwe ní eré là ń fi ọmọ ayò ṣe èso igi arère ni à ń pè ní ọmọ ayò tí a fi ń ta eré ayò ọlọ́pọ́n,NEUTRAL
ọlọ́run tó ńsebẹ̀ kò tí ì kúrò ní ìdí ààrò god who is cooking the soup has not left the kitchen keep hope aliv,POSITIVE
mi kò gbọ́ ọ rí wípé ọdún ìbílẹ̀ kan ìyẹn ọdún obó jẹ́ ọdún pàtàkì ní ìláwọ lábẹ́òkúta,POSITIVE
toró toró lejò ńrìn ejò ò ní padà lọ mú oró wá nílé snakes slither around with their venoms theyll never go,NEGATIVE
random shots from the grand finale of the ọ̀ṣun òṣogbo festival,INDETERMINATE
ẹ kalẹ̀ ó ìròyìn langbasa lórí ìkànnì sweet fm pẹ̀lú olúwafemi ọmọ makinde bbcnewsyoruba,NEUTRAL
= òjìléerúgba ó lé mẹ́wàá + + ọ̀tàléerúgba ó dín mẹ́wàá + = ọ̀tàléerúgbaọ̀tàléenígba + =,NEUTRAL
lọ́nà mìíràn àwọn kan gbà pé ọlọ́run olódùmarè ni agẹmọ nítorí òun ni ó ní agbára láti bá àwọ̀ gbogbo mu,NEUTRAL
